instruction,type,frequency
in1,instruction,8932
 ,literal,2754

,literal,2711
integer_add,instruction,1299
integer_min,instruction,1084
integer_stackdepth,instruction,1065
print_integer,instruction,1048
exec_string_iterate,instruction,840
exec_do*vector_integer,instruction,743
print_char,instruction,710
print_string,instruction,710
vector_integer_reverse,instruction,646
boolean_stackdepth,instruction,635
float_frominteger,instruction,616
integer_dup,instruction,615
float_add,instruction,605
string_length,instruction,597
exec_do*count,instruction,583
exec_y,instruction,550
exec_stackdepth,instruction,527
integer_mod,instruction,525
integer_mult,instruction,474
exec_dup,instruction,473
vector_integer_eq,instruction,472
print_newline,instruction,456
exec_dup_times,instruction,434
char_dup,instruction,400
print_float,instruction,392
integer_fromchar,instruction,380
integer_inc,instruction,378
exec_do*while,instruction,377
string_dup,instruction,361
integer_dec,instruction,357
exec_if,instruction,339
integer_max,instruction,331
0,literal,321
integer_empty,instruction,299
char_stackdepth,instruction,292
vector_integer_pushall,instruction,290
string_stackdepth,instruction,271
exec_when,instruction,262
integer_lt,instruction,250
boolean_empty,instruction,248
exec_s,instruction,248
string_shove,instruction,232
vector_integer_nth,instruction,232
exec_do*range,instruction,230
boolean_frominteger,instruction,230
integer_sub,instruction,228
exec_do*times,instruction,228
float_div,instruction,216
exec_while,instruction,213
char_empty,instruction,213
exec_swap,instruction,210
string_containschar,instruction,210
exec_empty,instruction,207
string_frominteger,instruction,202
integer_div,instruction,200
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 2 1 4 2 4 1 8 5 1 3 1 1 3 10 1 1 1 1 4 4 8 4 10 0 0 0 0 0 0 1 3 3 2 1 4 2 4 1 8 5 1 3 1 1 3 10 1 1 1 1 4 4 8 4 10 0 0 0 0],literal,196
exec_eq,instruction,194
string_occurrencesofchar,instruction,192
integer_dup_times,instruction,185
string_fromchar,instruction,184
string_reverse,instruction,179
string_dup_times,instruction,179
string_parse_to_chars,instruction,178
integer_lte,instruction,175
!,literal,167
char_allfromstring,instruction,167
boolean_dup_times,instruction,166
char_isletter,instruction,164
string_replacefirstchar,instruction,161
boolean_not,instruction,159
exec_do*vector_string,instruction,158
vector_integer_set,instruction,158
integer_fromboolean,instruction,157
The number of syllables is ,literal,155
string_yankdup,instruction,154
float_stackdepth,instruction,152
boolean_and,instruction,152
integer_gte,instruction,150
aeiouy,literal,149
char_frominteger,instruction,143
2,literal,143
exec_do*vector_float,instruction,143
char_iswhitespace,instruction,141
string_emptystring,instruction,139
string_split,instruction,139
vector_integer_stackdepth,instruction,136
64,literal,135
exec_yank,instruction,133
string_conjchar,instruction,132
char_dup_times,instruction,132
integer_gt,instruction,130
integer_swap,instruction,130
vector_string_reverse,instruction,129
char_dup_items,instruction,126
exec_flush,instruction,126
boolean_or,instruction,125
exec_shove,instruction,123
string_contains,instruction,123
exec_yankdup,instruction,121
string_concat,instruction,121
exec_rot,instruction,120
integer_shove,instruction,117
string_butlast,instruction,116
integer_yank,instruction,115
integer_dup_items,instruction,115
string_empty,instruction,110
boolean_dup_items,instruction,104
Check sum is ,literal,103
vector_integer_dup,instruction,100
string_yank,instruction,99
string_first,instruction,98
integer_yankdup,instruction,94
integer_pop,instruction,92
char_eq,instruction,91
boolean_flush,instruction,90
integer_rot,instruction,90
string_fromboolean,instruction,90
exec_dup_items,instruction,87
string_eq,instruction,85
string_rest,instruction,82
vector_float_length,instruction,81
string_take,instruction,80
C,literal,80
F,literal,80
B,literal,80
 grade.,literal,80
A,literal,80
D,literal,80
Student has a ,literal,80
char_rot,instruction,79
vector_float_pushall,instruction,76
string_pop,instruction,75
integer_flush,instruction,75
exec_pop,instruction,74
[],literal,71
small,literal,71
vector_integer_length,instruction,70
vector_integer_conj,instruction,69
vector_integer_replace,instruction,68
string_substring,instruction,65
vector_integer_replacefirst,instruction,65
large,literal,65
string_indexofchar,instruction,63
string_replacechar,instruction,62
boolean_invert_first_then_and,instruction,62
char_yankdup,instruction,59
vector_integer_swap,instruction,57
string_last,instruction,57
boolean_dup,instruction,57
boolean_yankdup,instruction,56
vector_integer_rest,instruction,55
string_removechar,instruction,52
char_isdigit,instruction,51
boolean_eq,instruction,51
boolean_invert_second_then_and,instruction,51
integer_eq,instruction,50
string_dup_items,instruction,50
exec_y_when_autoconstructing,instruction,49
char_swap,instruction,47
boolean_shove,instruction,46
boolean_swap,instruction,45
vector_integer_dup_times,instruction,45
vector_integer_empty,instruction,42
string_replacefirst,instruction,42
string_flush,instruction,40
1,literal,39
string_swap,instruction,39
string_rot,instruction,39
e,literal,38
boolean_yank,instruction,37
