frequency,type,instruction
101,instruction,char_dup
82,literal,!
82,instruction,print_char
56,instruction,char_isletter
53,instruction,in1
51,instruction,exec_string_iterate
44,instruction,exec_do*while
37,instruction,char_eq
29,instruction,string_fromchar
29,instruction,print_string
26,instruction,exec_when
15,instruction,exec_if
14,instruction,exec_stackdepth
14,instruction,string_dup
13,instruction,char_dup_times
11,instruction,exec_while
10,instruction,boolean_stackdepth
9,instruction,char_stackdepth
8,instruction,exec_rot
8,instruction,string_occurrencesofchar
8,instruction,exec_s
8,instruction,integer_empty
7,instruction,string_stackdepth
7,instruction,string_containschar
6,instruction,string_first
6,instruction,string_contains
5,instruction,string_conjchar
5,instruction,char_pop
5,instruction,exec_dup
5,instruction,boolean_dup
5,instruction,integer_fromboolean
5,instruction,char_yankdup
5,instruction,boolean_not
5,instruction,string_empty
5,instruction,string_yankdup
5,instruction,exec_flush
4,instruction,exec_yankdup
4,instruction,boolean_or
4,instruction,boolean_empty
4,instruction,char_dup_items
4,instruction,string_take
4,instruction,exec_eq
4,instruction,integer_fromchar
4,instruction,boolean_frominteger
4,instruction,string_replacefirstchar
4,instruction,char_empty
4,instruction,integer_dup
4,instruction,exec_yank
3,instruction,exec_shove
3,instruction,integer_eq
3,instruction,string_butlast
3,instruction,exec_dup_items
3,instruction,boolean_dup_items
3,instruction,exec_empty
3,instruction,boolean_flush
3,instruction,boolean_xor
3,instruction,integer_mod
3,instruction,string_concat
3,instruction,string_swap
3,instruction,exec_swap
3,instruction,string_replacechar
3,instruction,char_yank
3,instruction,boolean_invert_first_then_and
3,instruction,boolean_eq
3,instruction,exec_do*times
3,instruction,string_parse_to_chars
3,instruction,integer_pop
3,instruction,string_dup_items
3,instruction,string_length
2,instruction,integer_sub
2,instruction,integer_inc
2,instruction,boolean_swap
2,instruction,char_isdigit
2,instruction,integer_gte
2,instruction,string_replacefirst
2,instruction,integer_lte
2,instruction,string_dup_times
2,instruction,integer_max
2,instruction,string_eq
2,instruction,integer_stackdepth
2,instruction,exec_dup_times
2,instruction,string_emptystring
2,instruction,char_allfromstring
2,instruction,string_pop
2,instruction,string_replace
2,instruction,exec_y_when_autoconstructing
2,instruction,char_flush
2,instruction,string_fromboolean
2,instruction,string_rest
2,instruction,boolean_and
2,instruction,boolean_invert_second_then_and
2,instruction,boolean_yankdup
1,instruction,boolean_pop
1,instruction,integer_yankdup
1,instruction,exec_y
1,instruction,string_substring
1,instruction,exec_s_when_autoconstructing
1,instruction,char_iswhitespace
1,instruction,string_indexofchar
1,instruction,integer_fromstring
1,instruction,string_reverse
1,instruction,exec_k
1,instruction,char_rot
1,instruction,boolean_dup_times
1,instruction,boolean_rot
1,instruction,integer_div
1,instruction,exec_do*count
1,instruction,exec_k_when_autoconstructing
1,instruction,integer_add
1,instruction,integer_shove
1,instruction,tagged_188
1,instruction,integer_dup_times
1,instruction,integer_min
1,instruction,exec_do*range
1,instruction,tag_exec_473
1,instruction,tagged_24
1,instruction,integer_gt
1,instruction,string_removechar
1,instruction,tagged_381
1,instruction,string_yank
1,instruction,exec_noop
1,instruction,string_split
1,instruction,print_exec
1,instruction,tag_exec_45
1,instruction,string_frominteger
1,instruction,tagged_946
